Rounded P,"T, C",Data Source,mNaCl_rounded (group),"mNaCl, mol/kg",mNaCl_rounded,"P, bar",Ref,"solubility_experimental, mol/kg (bin)","T, C (group)",Temperature,"mCO2, Exp, mol/kg",Round_T,"Solubility Est New, Mol/Kg","Solubility Est Old, Mol/Kg",Solubility_estimated_Duan_Sun,"Solubility_estimated_XGB, mol/kg","solubility_experimental, mol/kg","T, K"
80.5,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,80.5,,0.7,80,80.0,0.754,80,0.737253205,0.737067838,0.74,0.74,0.75,353
94.9,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,94.9,,0.7,80,80.0,0.794,80,0.833391706,0.816267624,0.82,0.83,0.79,353
99.4,79.85,"Nighswender et al., 1989",0.25,0.173,0.2,99.4,,0.8,80,80.0,0.868,80,0.861485087,0.838258451,0.84,0.86,0.87,353
21.1,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,21.1,,0.1,120,120.0,0.161,120,0.174943011,0.174880189,0.17,0.17,0.16,393
21.4,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,21.4,,0.1,120,120.0,0.173,120,0.177624566,0.177457001,0.18,0.18,0.17,393
40.4,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,40.4,,0.3,120,120.0,0.329,120,0.325512344,0.330971333,0.33,0.33,0.33,393
40.6,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,40.6,,0.3,120,120.0,0.341,120,0.327133056,0.332488665,0.33,0.33,0.34,393
60.2,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.2,,0.5,120,120.0,0.544,120,0.468854976,0.471871190,0.47,0.47,0.54,393
60.4,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.4,,0.5,120,120.0,0.544,120,0.470361263,0.473200249,0.47,0.47,0.54,393
81.5,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,81.5,,0.7,120,120.0,0.674,120,0.600832007,0.603700838,0.6,0.6,0.67,393
81.6,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,81.6,,0.7,120,120.0,0.663,120,0.601521397,0.604273492,0.6,0.6,0.66,393
99.7,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,99.7,,0.7,120,120.0,0.782,120,0.692372415,0.701674855,0.7,0.69,0.78,393
100.3,119.85,"Nighswender et al., 1989",0.25,0.173,0.2,100.3,,0.7,120,120.0,0.777,120,0.696165647,0.704697513,0.7,0.7,0.78,393
21.5,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,21.5,,0.1,160,160.0,0.156,160,0.132619462,0.132770522,0.13,0.13,0.16,433
41,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,41,,0.3,160,160.0,0.301,160,0.288570083,0.287641022,0.29,0.29,0.3,433
41.2,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,41.2,,0.3,160,160.0,0.307,160,0.290165393,0.289156436,0.29,0.29,0.31,433
60.4,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.4,,0.4,160,160.0,0.47,160,0.427790613,0.428080994,0.43,0.43,0.47,433
60.6,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,60.6,,0.4,160,160.0,0.487,160,0.429280658,0.429460272,0.43,0.43,0.49,433
79.5,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,79.5,,0.5,160,160.0,0.595,160,0.556569292,0.554101985,0.55,0.56,0.6,433
80.3,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,80.3,,0.5,160,160.0,0.578,160,0.562189281,0.559132940,0.56,0.56,0.58,433
99.3,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,99.3,,0.7,160,160.0,0.737,160,0.672543419,0.672946965,0.67,0.67,0.74,433
99.7,159.85,"Nighswender et al., 1989",0.25,0.173,0.2,99.7,,0.7,160,160.0,0.765,160,0.675162912,0.675231031,0.68,0.68,0.77,433
19,39.99,"Rumpf et al., 1994",4,3.997,4,19,Link,0.1,45,40.0,0.1996,40,0.199125352,0.198931756,0.2,0.2,0.2,313.14
31.47,40.04,"Rumpf et al., 1994",4,3.997,4,31.47,Link,0.3,45,40.0,0.3098,40,0.307156246,0.302107552,0.3,0.31,0.31,313.19
51.23,40.04,"Rumpf et al., 1994",4,3.997,4,51.23,Link,0.4,45,40.0,0.4529,40,0.432038814,0.430971746,0.43,0.43,0.45,313.19
69.17,40.04,"Rumpf et al., 1994",4,3.997,4,69.17,Link,0.5,45,40.0,0.5497,40,0.514619306,0.514454513,0.51,0.51,0.55,313.19
13.28,60.01,"Rumpf et al., 1994",4,3.997,4,13.28,Link,0.0,60,60.0,0.1073,60,0.108072794,0.108437489,0.11,0.11,0.11,333.16
25.14,60,"Rumpf et al., 1994",4,3.997,4,25.14,Link,0.1,60,60.0,0.1922,60,0.191216372,0.191221566,0.19,0.19,0.19,333.15
28.71,60.01,"Rumpf et al., 1994",4,3.997,4,28.71,Link,0.1,60,60.0,0.2184,60,0.212669185,0.213914852,0.21,0.21,0.22,333.16
35.21,59.99,"Rumpf et al., 1994",4,3.997,4,35.21,Link,0.1,60,60.0,0.257,60,0.251844169,0.252946106,0.25,0.25,0.26,333.14
